1. 과일원료 DB,,,,,,,,,,
과일군명,원료명,가공방법,당도,pH,단가,비중,산도,원산지,색상,공급중량
베리류(Berries) , 라즈베리 무균퓨레 (산지혼합),무균퓨레,9,3.11,12790,1.024,1.18,칠레,루비,900
인과류(Pome) , 모과 NFC (단일산지),NFC,11.6,3.49,2750,1.028,0.88,대한민국,황금,200
인과류(Pome) , 모과 퓨레 (프리미엄),퓨레,18.3,3.41,6750,1.062,0.72,중국,황금,20
베리류(Berries) , 라즈베리 냉동농축액 (유기농),냉동농축액,64.1,3.07,12870,1.244,2.57,칠레,루비,1200
핵과류(Stone) , 복숭아 농축액 (산지혼합),농축액,65.8,3.3,6260,1.253,0.53,스페인,살구색,220
열대과일(Tropical) , 바나나 NFC (프리미엄),NFC,12.1,4.84,6580,1.024,0.22,필리핀,크림,250
박과류(Melons) , 멜론 냉동농축액 (유기농),냉동농축액,69.2,5.86,3810,1.263,0.14,대한민국,그린,200
열대과일(Tropical) , 타마린드 무균퓨레 (단일산지),무균퓨레,9,2.42,16660,1.022,2.73,인도,다크브라운,25
감귤류(Citrus) , 자몽 퓨레 (단일산지),퓨레,9,3.13,7340,1.022,1.26,이스라엘,로즈,900
핵과류(Stone) , 체리 퓨레 (프리미엄),퓨레,9,3.45,8170,1.022,0.62,칠레,암적,1400
박과류(Melons) , 멜론 냉동농축액 (유기농),냉동농축액,61.8,5.42,4260,1.235,0.11,스페인,연초록,900
열대과일(Tropical) , 패션프루트 무균퓨레 (고펄프),무균퓨레,9,3.15,8780,1.022,2.69,남아공,황금,20
인과류(Pome) , 사과 주스 (클래식),주스,7.2,3.85,3880,1.008,0.68,뉴질랜드,담황,900
열대과일(Tropical) , 패션프루트 냉동농축액 (프리미엄),냉동농축액,59,2.5,8780,1.226,2.94,남아공,황금,1200
열대과일(Tropical) , 두리안 농축액 (저펄프),농축액,63.2,4.8,11110,1.244,0.38,말레이시아,연노랑,220
베리류(Berries) , 비트베리(링곤베리) 농축액 (무첨가),농축액,65.4,2.75,7530,1.252,3.64,핀란드,암적,1400
감귤류(Citrus) , 금귤 퓨레 (유기농),퓨레,9,2.84,4690,1.02,1.29,일본,황주황,1200
베리류(Berries) , 구기자 무균퓨레 (저펄프),무균퓨레,11.1,3.96,16650,1.033,0.87,중국,주황적,20
베리류(Berries) , 비트베리(링곤베리) 무균퓨레 (단일산지),무균퓨레,9,3.13,15710,1.027,1.37,핀란드,버건디,200
열대과일(Tropical) , 타마린드 NFC (클래식),NFC,8,2.7,14130,1.014,1.65,멕시코,다크브라운,250
열대과일(Tropical) , 패션프루트 NFC (무첨가),NFC,8,3.12,17750,1.007,2.56,베트남,노랑,1200
감귤류(Citrus) , 포멜로 주스 (고펄프),주스,10.3,3.3,4710,1.017,0.86,태국,연금색,1000
박과류(Melons) , 멜론 농축액 (저펄프),농축액,60.6,5.7,3640,1.228,0.07,대한민국,연녹,200
감귤류(Citrus) , 금귤 NFC (무가당),NFC,8,2.95,5690,1.012,1.12,중국,진주황,240
핵과류(Stone) , 천도복숭아 무균퓨레 (고펄프),무균퓨레,9,3.18,9350,1.021,0.43,칠레,주황,20
베리류(Berries) , 레드커런트 농축액 (유기농),농축액,71.9,2.93,6320,1.276,2.02,독일,딥레드,240
핵과류(Stone) , 살구 냉동농축액 (무첨가),냉동농축액,65.7,3.4,6550,1.247,2.37,우즈베키스탄,황주황,200
열대과일(Tropical) , 망고스틴 무균퓨레 (무가당),무균퓨레,12.3,3.37,9720,1.034,1.11,인도네시아,담황,200
베리류(Berries) , 블랙베리 무균퓨레 (산지혼합),무균퓨레,9,3.13,14990,1.026,1.56,칠레,딥퍼플,220
열대과일(Tropical) , 람부탄 퓨레 (클래식),퓨레,11,4.39,14910,1.035,0.29,말레이시아,연노랑,220
열대과일(Tropical) , 타마린드 퓨레 (산지혼합),퓨레,9,3.11,9740,1.023,1.52,멕시코,다크브라운,250
박과류(Melons) , 멜론 냉동농축액 (저펄프),냉동농축액,67.2,6.04,2380,1.254,0.05,일본,연초록,1200
열대과일(Tropical) , 타마린드 무균퓨레 (무가당),무균퓨레,9,2.73,15780,1.021,2.9,태국,갈색,1200
기타(Other) , 아보카도 냉동농축액 (무가당),냉동농축액,64.4,6.18,11690,1.242,0.17,케냐,연녹,20
감귤류(Citrus) , 감귤 주스 (유기농),주스,7,3.45,5190,1.009,0.65,일본,주황,20
박과류(Melons) , 칸탈루프 농축액 (일반),농축액,62,6.07,2570,1.233,0.2,스페인,황주황,25
베리류(Berries) , 아사이 주스 (단일산지),주스,8.8,4.05,6540,1.014,0.31,브라질,자주,1000
감귤류(Citrus) , 금귤 NFC (일반),NFC,8,3.24,3170,1.012,2.25,대한민국,황주황,20
베리류(Berries) , 엘더베리 농축액 (무가당),농축액,62.9,3.47,16200,1.244,1.4,폴란드,흑자주,250
핵과류(Stone) , 사워체리 무균퓨레 (무첨가),무균퓨레,9,3.41,9190,1.021,1.37,헝가리,루비,20
감귤류(Citrus) , 오렌지 주스 (단일산지),주스,9.9,3.57,4330,1.014,0.98,스페인,주황,240
기타(Other) , 키위 NFC (무가당),NFC,9.7,3.25,12580,1.022,1.17,이탈리아,그린,1200
감귤류(Citrus) , 유자 농축액 (프리미엄),농축액,71.2,2.53,4810,1.267,3.68,일본,황금,240
감귤류(Citrus) , 포멜로 퓨레 (무가당),퓨레,17,3.25,3610,1.059,1.37,중국,연노랑,20
베리류(Berries) , 엘더베리 퓨레 (단일산지),퓨레,10.9,3.83,14030,1.034,0.96,폴란드,흑자주,1400
인과류(Pome) , 비파 주스 (고펄프),주스,10.7,3.28,5430,1.024,0.48,일본,피치,250
열대과일(Tropical) , 망고 NFC (클래식),NFC,8.7,4.34,4930,1.016,0.3,인도,주황,1000
베리류(Berries) , 구기자 주스 (저펄프),주스,7,3.79,7580,1.007,0.76,중국,주황적,200
베리류(Berries) , 레드커런트 무균퓨레 (일반),무균퓨레,9.7,2.72,6950,1.026,2.25,독일,딥레드,1200
박과류(Melons) , 멜론 NFC (프리미엄),NFC,10.4,6.19,3170,1.019,0.03,스페인,그린,220
열대과일(Tropical) , 파인애플 농축액 (단일산지),농축액,69.6,3.31,12660,1.262,2.37,태국,황금,25
열대과일(Tropical) , 잭프루트 NFC (일반),NFC,16.4,4.59,14460,1.039,0.25,인도,레몬옐로,25
열대과일(Tropical) , 파인애플 농축액 (저펄프),농축액,62,3.54,6260,1.238,1.26,필리핀,노랑,240
열대과일(Tropical) , 망고 냉동농축액 (무첨가),냉동농축액,58.4,3.98,5380,1.223,0.75,베트남,진주황,200
감귤류(Citrus) , 칼라만시 무균퓨레 (산지혼합),무균퓨레,9,2.57,9250,1.028,2.45,태국,담황,1000
기타(Other) , 키위 주스 (일반),주스,7,3.44,3260,1.005,1.12,이탈리아,연녹,240
기타(Other) , 아보카도 주스 (산지혼합),주스,11.6,6.54,3880,1.029,0.1,케냐,연녹,240
베리류(Berries) , 레드커런트 무균퓨레 (단일산지),무균퓨레,9,3.3,14330,1.028,1.33,폴란드,진홍,220
베리류(Berries) , 구기자 무균퓨레 (저펄프),무균퓨레,16.1,4.23,16460,1.054,0.32,중국,주황적,1200
감귤류(Citrus) , 베르가못 주스 (유기농),주스,7,2.44,4420,1.002,2.16,튀니지,연올리브,220
베리류(Berries) , 아사이 무균퓨레 (프리미엄),무균퓨레,10.8,4.64,10820,1.027,0.36,브라질,자홍,250
핵과류(Stone) , 자두 무균퓨레 (고펄프),무균퓨레,16.9,3.24,5270,1.052,0.59,칠레,자홍,1000
감귤류(Citrus) , 베르가못 무균퓨레 (저펄프),무균퓨레,10.1,2.89,4990,1.032,2.69,이탈리아,올리브,240
감귤류(Citrus) , 라임 냉동농축액 (무가당),냉동농축액,66.7,2.53,3310,1.259,5.42,베트남,라임그린,1400
열대과일(Tropical) , 타마린드 퓨레 (클래식),퓨레,9,2.8,9890,1.021,2.16,멕시코,갈색,250
인과류(Pome) , 사과 NFC (무첨가),NFC,8.8,3.75,5180,1.017,0.38,대한민국,담황,1000
감귤류(Citrus) , 금귤 주스 (유기농),주스,7,2.97,4420,1.003,1.76,대한민국,황주황,220
열대과일(Tropical) , 망고 농축액 (산지혼합),농축액,69.6,3.43,13300,1.264,0.64,태국,황주황,25
감귤류(Citrus) , 감귤 NFC (유기농),NFC,9.8,3.45,7080,1.013,1.03,일본,황주황,900
인과류(Pome) , 비파 농축액 (일반),농축액,64,3.72,5650,1.244,1.36,일본,연주황,25
핵과류(Stone) , 체리 퓨레 (클래식),퓨레,14,3.54,4260,1.039,0.34,터키,암적,1400
감귤류(Citrus) , 칼라만시 농축액 (프리미엄),농축액,60.3,2.28,5150,1.228,3.42,베트남,연금색,240
열대과일(Tropical) , 노니 퓨레 (단일산지),퓨레,12.1,3.87,6460,1.033,0.57,인도네시아,연갈,240
인과류(Pome) , 비파 냉동농축액 (산지혼합),냉동농축액,67,3.59,5550,1.26,0.97,스페인,연주황,900
핵과류(Stone) , 사워체리 퓨레 (산지혼합),퓨레,12.1,3.47,5670,1.034,1.37,폴란드,루비,20
열대과일(Tropical) , 두리안 퓨레 (유기농),퓨레,20,5.11,14130,1.062,0.21,태국,연노랑,220
인과류(Pome) , 모과 주스 (프리미엄),주스,7,3.41,2620,1.01,0.56,터키,황금,250
감귤류(Citrus) , 감귤 주스 (단일산지),주스,8.4,3.4,6300,1.012,1.37,대한민국,황주황,1400
열대과일(Tropical) , 파파야 주스 (프리미엄),주스,7.6,4.43,11130,1.01,0.19,멕시코,연주황,1400
기타(Other) , 키위 NFC (저펄프),NFC,10.5,3.63,9410,1.018,1.68,대한민국,연녹,200
핵과류(Stone) , 체리 냉동농축액 (일반),냉동농축액,65.4,3.62,4360,1.251,1.23,칠레,버건디,250
베리류(Berries) , 아사이 NFC (고펄프),NFC,10.3,4.67,15510,1.021,0.36,브라질,자홍,1000
베리류(Berries) , 블랙베리 무균퓨레 (산지혼합),무균퓨레,9,3.19,15610,1.022,1.11,칠레,딥퍼플,20
기타(Other) , 키위 냉동농축액 (일반),냉동농축액,58.8,3.47,5910,1.225,3.03,이탈리아,연녹,220
열대과일(Tropical) , 파인애플 농축액 (클래식),농축액,71,3.72,5780,1.272,2.05,코스타리카,노랑,250
열대과일(Tropical) , 람부탄 주스 (저펄프),주스,8,4.87,7580,1.009,0.27,베트남,연금색,25
인과류(Pome) , 배 주스 (저펄프),주스,7,4.08,2890,1.004,0.37,중국,연금색,220
열대과일(Tropical) , 노니 주스 (무가당),주스,9.5,4.36,8830,1.018,0.98,타히티,연호박,20
베리류(Berries) , 라즈베리 퓨레 (저펄프),퓨레,13.2,3.05,8830,1.042,1.77,폴란드,딥레드,1000
감귤류(Citrus) , 포멜로 주스 (단일산지),주스,7,3.31,2410,1.008,1.1,베트남,담황,1200
열대과일(Tropical) , 람부탄 NFC (무가당),NFC,10.2,4.11,14620,1.024,0.1,말레이시아,연금색,240
감귤류(Citrus) , 유자 퓨레 (일반),퓨레,10.8,3.14,5980,1.035,2.05,일본,황금,200
열대과일(Tropical) , 노니 주스 (산지혼합),주스,13,3.76,5710,1.028,0.59,타히티,베이지,220
열대과일(Tropical) , 타마린드 주스 (클래식),주스,7,2.94,15690,1.01,2.51,인도,다크브라운,25
감귤류(Citrus) , 라임 무균퓨레 (무가당),무균퓨레,9,2.59,7580,1.022,3.1,멕시코,연녹색,250
기타(Other) , 무화과 NFC (단일산지),NFC,11.6,5.39,7650,1.025,0.14,터키,플럼브라운,20
열대과일(Tropical) , 잭프루트 퓨레 (무가당),퓨레,9.6,5.57,10230,1.031,0.15,인도,노랑,200
베리류(Berries) , 아사이 주스 (유기농),주스,14.8,4.71,12830,1.032,0.4,브라질,딥퍼플,250
베리류(Berries) , 구기자 무균퓨레 (무첨가),무균퓨레,9,3.86,11640,1.028,0.43,중국,주황적,1400
열대과일(Tropical) , 타마린드 주스 (무가당),주스,7,3.17,6800,1.003,2.27,인도,다크브라운,1200
인과류(Pome) , 배 무균퓨레 (일반),무균퓨레,9,3.99,4420,1.029,0.18,미국,연노랑,25
베리류(Berries) , 아로니아 NFC (고펄프),NFC,8,3.41,10130,1.01,1.32,폴란드,블랙퍼플,1000
기타(Other) , 대추야자 냉동농축액 (유기농),냉동농축액,60,5.77,6320,1.234,0.09,사우디아라비아,호박색,1200
감귤류(Citrus) , 레몬 NFC (프리미엄),NFC,8,2.68,6270,1.012,2.33,미국,연금색,20
열대과일(Tropical) , 노니 농축액 (프리미엄),농축액,60.6,3.55,9600,1.233,0.68,타히티,베이지,900
박과류(Melons) , 수박 퓨레 (저펄프),퓨레,12.8,5.36,2400,1.042,0.04,베트남,연홍,25
감귤류(Citrus) , 레몬 농축액 (클래식),농축액,66,2.45,5210,1.25,6,스페인,연노랑,1200
감귤류(Citrus) , 포멜로 무균퓨레 (프리미엄),무균퓨레,16.4,3.2,9770,1.054,0.6,베트남,담황,200
기타(Other) , 감 퓨레 (일반),퓨레,9.9,5.87,8300,1.03,0.14,중국,진주황,1000
감귤류(Citrus) , 자몽 냉동농축액 (유기농),냉동농축액,68.5,3.44,7910,1.257,2.74,미국,연핑크,200
베리류(Berries) , 아사이 NFC (클래식),NFC,15.7,4.76,9990,1.042,0.18,브라질,딥퍼플,900
베리류(Berries) , 블랙베리 주스 (유기농),주스,7.7,3.09,5460,1.014,1.36,멕시코,자홍,20
감귤류(Citrus) , 자몽 주스 (유기농),주스,9.6,3.24,4990,1.016,1.37,이스라엘,로즈,20
열대과일(Tropical) , 바나나 주스 (산지혼합),주스,7.6,4.81,6060,1.007,0.06,에콰도르,연베이지,250
열대과일(Tropical) , 파파야 무균퓨레 (단일산지),무균퓨레,18.5,4.39,9590,1.058,0.22,브라질,연주황,1200
인과류(Pome) , 비파 농축액 (일반),농축액,67.7,3.17,4880,1.254,1.72,중국,살구색,240
열대과일(Tropical) , 구아바 냉동농축액 (프리미엄),냉동농축액,64.6,3.48,5650,1.247,0.68,멕시코,핑크,250
열대과일(Tropical) , 패션프루트 무균퓨레 (무가당),무균퓨레,9,2.66,6470,1.025,1.86,베트남,황금,1200
열대과일(Tropical) , 노니 무균퓨레 (클래식),무균퓨레,12.9,3.84,20460,1.043,0.88,인도네시아,연호박,250
감귤류(Citrus) , 레몬 농축액 (클래식),농축액,69.1,2.28,5820,1.262,6,미국,연노랑,200
감귤류(Citrus) , 라임 무균퓨레 (고펄프),무균퓨레,9,2.35,4530,1.022,2.23,멕시코,라임그린,220
감귤류(Citrus) , 자몽 주스 (산지혼합),주스,7,3.34,6190,1.003,1.47,멕시코,로즈,1400
감귤류(Citrus) , 라임 주스 (유기농),주스,7,2.54,4880,1.006,2.74,베트남,연녹색,1400
기타(Other) , 석류 냉동농축액 (고펄프),냉동농축액,59.2,3.24,15640,1.225,2.53,터키,버건디,900
베리류(Berries) , 크랜베리 주스 (무가당),주스,7,2.38,12120,1.011,2.82,캐나다,암적,1200
감귤류(Citrus) , 칼라만시 냉동농축액 (프리미엄),냉동농축액,65.5,2.35,8520,1.251,5.49,태국,연금색,250
기타(Other) , 대추야자 NFC (일반),NFC,13,5.5,9590,1.032,0.24,튀니지,다크브라운,900
열대과일(Tropical) , 파파야 농축액 (저펄프),농축액,60.3,4.33,7380,1.227,0.2,브라질,연주황,20
감귤류(Citrus) , 포멜로 퓨레 (무첨가),퓨레,9,3.49,6700,1.028,0.68,태국,연금색,1200
베리류(Berries) , 블루베리 퓨레 (산지혼합),퓨레,15.7,3.4,13170,1.052,0.7,페루,블루퍼플,250
인과류(Pome) , 비파 농축액 (단일산지),농축액,68.9,3.19,5530,1.26,1.52,스페인,피치,250
열대과일(Tropical) , 리치 무균퓨레 (프리미엄),무균퓨레,16.2,4.42,7610,1.05,0.58,중국,연노랑,1200
핵과류(Stone) , 살구 농축액 (고펄프),농축액,65.1,3.31,8780,1.247,2.15,우즈베키스탄,주황,200
열대과일(Tropical) , 람부탄 농축액 (산지혼합),농축액,69.3,4.5,7750,1.265,0.37,베트남,연노랑,200
감귤류(Citrus) , 오렌지 퓨레 (저펄프),퓨레,9,3.34,7450,1.023,1.06,스페인,진주황,250
감귤류(Citrus) , 포멜로 퓨레 (무가당),퓨레,12.1,3.6,2920,1.041,1.26,베트남,담황,1000
열대과일(Tropical) , 노니 퓨레 (산지혼합),퓨레,18.5,3.74,12020,1.065,0.33,타히티,베이지,240
기타(Other) , 석류 NFC (고펄프),NFC,8,3.21,11040,1.011,1.72,인도,암적,220
열대과일(Tropical) , 구아바 농축액 (프리미엄),농축액,71.4,3.29,11160,1.268,1.17,태국,연로즈,900
감귤류(Citrus) , 포멜로 퓨레 (일반),퓨레,15.3,3.53,7100,1.048,1.19,태국,연금색,200
열대과일(Tropical) , 파인애플 무균퓨레 (무첨가),무균퓨레,10.6,3.27,11910,1.034,0.54,필리핀,레몬옐로,900
열대과일(Tropical) , 망고 무균퓨레 (일반),무균퓨레,12.7,3.72,5610,1.035,0.47,인도,황주황,1400
박과류(Melons) , 칸탈루프 농축액 (클래식),농축액,64.3,5.66,5160,1.243,0.18,스페인,진주황,20
감귤류(Citrus) , 금귤 퓨레 (고펄프),퓨레,9,3.22,4400,1.028,2.12,대한민국,주황,240
인과류(Pome) , 사과 퓨레 (무가당),퓨레,19.3,3.31,4250,1.064,0.22,칠레,연노랑,240
기타(Other) , 무화과 무균퓨레 (무가당),무균퓨레,21.4,4.84,10180,1.073,0.15,터키,다크플럼,240
감귤류(Citrus) , 레몬 냉동농축액 (저펄프),냉동농축액,66.1,2.53,6750,1.252,6,미국,담황,25
감귤류(Citrus) , 자몽 냉동농축액 (클래식),냉동농축액,66.7,3.19,6610,1.25,1.85,남아공,핑크,1000
베리류(Berries) , 아사이 퓨레 (무가당),퓨레,17.5,4.55,19200,1.058,0.15,브라질,자주,250
기타(Other) , 키위 냉동농축액 (클래식),냉동농축액,66.5,3.44,9280,1.252,2.33,대한민국,연초록,240
열대과일(Tropical) , 용과 농축액 (일반),농축액,62.1,4.48,7150,1.237,0.6,말레이시아,연분홍,25
베리류(Berries) , 엘더베리 퓨레 (클래식),퓨레,13.2,3.77,8180,1.043,1.08,폴란드,흑보라,1200
열대과일(Tropical) , 노니 냉동농축액 (단일산지),냉동농축액,62.4,3.61,13260,1.238,1.44,타히티,연호박,220
박과류(Melons) , 멜론 냉동농축액 (일반),냉동농축액,67.1,5.32,2740,1.26,0.16,스페인,연초록,250
베리류(Berries) , 딸기 주스 (클래식),주스,7,3.23,7960,1.009,0.76,미국,선홍,1000
베리류(Berries) , 유월귤(빌베리) 농축액 (고펄프),농축액,60.5,3.11,12080,1.229,4.27,핀란드,블루퍼플,900
열대과일(Tropical) , 잭프루트 무균퓨레 (단일산지),무균퓨레,21.5,4.59,11100,1.077,0.1,베트남,레몬옐로,1000
인과류(Pome) , 사과 퓨레 (고펄프),퓨레,19.4,3.55,3760,1.064,0.31,중국,연노랑,200
열대과일(Tropical) , 람부탄 무균퓨레 (일반),무균퓨레,19.8,4.66,9610,1.064,0.21,베트남,연노랑,900
베리류(Berries) , 블루베리 농축액 (단일산지),농축액,61.5,3.28,6900,1.231,1.83,캐나다,인디고,900
열대과일(Tropical) , 두리안 무균퓨레 (무첨가),무균퓨레,9,5.16,9270,1.023,0.22,말레이시아,연노랑,220
열대과일(Tropical) , 람부탄 냉동농축액 (무첨가),냉동농축액,67.5,4.79,11190,1.26,0.51,베트남,연노랑,220
핵과류(Stone) , 살구 냉동농축액 (일반),냉동농축액,59.3,2.99,4700,1.223,2.14,스페인,황주황,1400
베리류(Berries) , 유월귤(빌베리) 퓨레 (산지혼합),퓨레,9.5,2.86,10380,1.023,1.48,핀란드,인디고,900
핵과류(Stone) , 사워체리 NFC (단일산지),NFC,10.5,3.35,6300,1.024,1.23,폴란드,딥레드,1400
감귤류(Citrus) , 자몽 주스 (일반),주스,7,3.23,3590,1.011,1.03,멕시코,핑크,220
포도류(Grapes) , 포도 무균퓨레 (프리미엄),무균퓨레,17,3.46,8990,1.05,0.38,이탈리아,퍼플,250
감귤류(Citrus) , 유자 주스 (무가당),주스,7,2.75,3940,1.006,2.11,일본,황금,900
핵과류(Stone) , 사워체리 퓨레 (무첨가),퓨레,13,3.24,5370,1.041,1.17,폴란드,루비,250
기타(Other) , 무화과 냉동농축액 (단일산지),냉동농축액,68.3,5.05,6360,1.257,0.33,이란,플럼브라운,1200
박과류(Melons) , 칸탈루프 무균퓨레 (프리미엄),무균퓨레,19.2,5.36,2690,1.058,0.12,멕시코,진주황,25
베리류(Berries) , 라즈베리 냉동농축액 (클래식),냉동농축액,62.5,3.1,8310,1.24,3.19,칠레,진홍,200
열대과일(Tropical) , 망고 농축액 (일반),농축액,62.4,3.94,9640,1.239,0.65,태국,황주황,200
핵과류(Stone) , 자두 냉동농축액 (프리미엄),냉동농축액,65.9,3.57,6940,1.253,1.38,대한민국,자홍,20
감귤류(Citrus) , 감귤 퓨레 (무가당),퓨레,9.3,3.65,7860,1.024,1.42,중국,주황,1400
열대과일(Tropical) , 파인애플 주스 (산지혼합),주스,9.2,3.41,4170,1.011,0.78,태국,레몬옐로,25
베리류(Berries) , 라즈베리 퓨레 (클래식),퓨레,13.3,3.19,10030,1.046,1.49,세르비아,딥레드,1000
열대과일(Tropical) , 잭프루트 농축액 (일반),농축액,65.8,4.75,16610,1.253,0.36,베트남,황금,1200
박과류(Melons) , 칸탈루프 NFC (고펄프),NFC,10.3,5.29,2110,1.022,0.09,미국,진주황,250
감귤류(Citrus) , 포멜로 퓨레 (저펄프),퓨레,9.3,3.57,5460,1.03,1.15,태국,연노랑,220
감귤류(Citrus) , 포멜로 냉동농축액 (일반),냉동농축액,60.4,3.06,6930,1.235,1.21,베트남,담황,1400
기타(Other) , 대추야자 퓨레 (유기농),퓨레,22.4,5.82,12770,1.073,0.12,튀니지,다크브라운,1000
기타(Other) , 대추야자 퓨레 (산지혼합),퓨레,12.6,5.07,11770,1.034,0.17,이란,호박색,20
핵과류(Stone) , 복숭아 주스 (일반),주스,12.6,3.82,5900,1.024,0.47,스페인,피치,20
박과류(Melons) , 멜론 냉동농축액 (유기농),냉동농축액,62.6,5.25,3160,1.236,0.18,스페인,연초록,250
열대과일(Tropical) , 패션프루트 주스 (프리미엄),주스,7,3.02,7130,1.011,1.8,페루,황금,220
기타(Other) , 석류 NFC (무첨가),NFC,9.6,3.24,15940,1.014,1.83,미국,진적색,200
열대과일(Tropical) , 패션프루트 냉동농축액 (일반),냉동농축액,69.9,3.03,14770,1.265,4.87,남아공,노랑,200
감귤류(Citrus) , 포멜로 NFC (고펄프),NFC,9.1,3.38,4330,1.013,0.96,베트남,연금색,240
인과류(Pome) , 배 주스 (고펄프),주스,7.5,4.09,4170,1.006,0.44,중국,담황,250
박과류(Melons) , 멜론 퓨레 (고펄프),퓨레,16,5.94,2960,1.05,0.11,스페인,연녹,200
핵과류(Stone) , 사워체리 무균퓨레 (단일산지),무균퓨레,11.4,3.2,7050,1.03,1.71,터키,딥레드,240
열대과일(Tropical) , 노니 주스 (일반),주스,7.7,3.94,12960,1.008,0.9,인도네시아,연갈,200
감귤류(Citrus) , 라임 무균퓨레 (산지혼합),무균퓨레,9,2.25,4750,1.027,3.06,멕시코,연녹색,1000
인과류(Pome) , 비파 농축액 (무가당),농축액,69.3,3.36,6890,1.26,0.71,일본,살구색,220
기타(Other) , 무화과 NFC (클래식),NFC,11.8,4.63,3680,1.022,0.18,이란,플럼브라운,1000
베리류(Berries) , 비트베리(링곤베리) 퓨레 (무첨가),퓨레,11.5,2.97,9830,1.039,1.2,핀란드,암적,1400
열대과일(Tropical) , 파파야 무균퓨레 (유기농),무균퓨레,17.7,4.58,14440,1.058,0.14,브라질,살구색,240
베리류(Berries) , 아로니아 농축액 (무첨가),농축액,60,3.46,13700,1.224,2.15,대한민국,블랙퍼플,20
기타(Other) , 아보카도 NFC (유기농),NFC,13.7,6.56,11510,1.029,0.06,페루,연초록,220
포도류(Grapes) , 포도 무균퓨레 (저펄프),무균퓨레,15.2,3.66,8520,1.044,0.45,이탈리아,퍼플,1200
핵과류(Stone) , 사워체리 냉동농축액 (유기농),냉동농축액,68.2,3.05,8510,1.258,2.83,헝가리,딥레드,20
인과류(Pome) , 비파 퓨레 (유기농),퓨레,9,3.78,4450,1.021,0.47,중국,연주황,25
인과류(Pome) , 사과 주스 (프리미엄),주스,7.8,3.54,3430,1.01,0.59,뉴질랜드,연노랑,250
베리류(Berries) , 블랙커런트 냉동농축액 (무첨가),냉동농축액,58.7,3.25,20230,1.227,3.35,폴란드,자홍,220
기타(Other) , 감 주스 (무첨가),주스,9,6.19,3830,1.017,0.05,일본,주황,1000
박과류(Melons) , 멜론 NFC (저펄프),NFC,17,5.36,3450,1.047,0.1,일본,연초록,1000
감귤류(Citrus) , 칼라만시 NFC (저펄프),NFC,8,2.8,5620,1.007,1.83,베트남,연노랑,200
열대과일(Tropical) , 잭프루트 농축액 (프리미엄),농축액,64.7,4.65,9110,1.249,0.33,인도,노랑,1000
박과류(Melons) , 멜론 퓨레 (프리미엄),퓨레,13.8,6.17,3170,1.038,0.1,일본,그린,1200
감귤류(Citrus) , 라임 주스 (일반),주스,7,2.69,5820,1.01,3.14,브라질,연초록,220
박과류(Melons) , 칸탈루프 주스 (무가당),주스,10,5.33,2830,1.018,0.11,스페인,황주황,1000
열대과일(Tropical) , 두리안 냉동농축액 (산지혼합),냉동농축액,64.5,4.62,8880,1.25,0.52,말레이시아,담황,240
핵과류(Stone) , 자두 주스 (고펄프),주스,7,3.38,3140,1.004,0.84,칠레,자홍,220
기타(Other) , 석류 농축액 (산지혼합),농축액,67.9,3.17,13360,1.26,2.71,인도,진적색,25
박과류(Melons) , 수박 농축액 (산지혼합),농축액,60.5,5.54,2260,1.228,0.05,베트남,코랄,1000
열대과일(Tropical) , 망고스틴 무균퓨레 (고펄프),무균퓨레,14,3.24,8810,1.046,0.5,태국,담황,20
열대과일(Tropical) , 용과 무균퓨레 (저펄프),무균퓨레,21.4,4.42,14200,1.074,0.21,베트남,연로즈,25
감귤류(Citrus) , 오렌지 냉동농축액 (무첨가),냉동농축액,69.5,2.79,4520,1.265,2.02,미국,황주황,1200
기타(Other) , 무화과 농축액 (고펄프),농축액,69.2,4.98,12210,1.26,0.42,대한민국,플럼브라운,1200
박과류(Melons) , 수박 냉동농축액 (고펄프),냉동농축액,64.4,5.22,5100,1.251,0.21,대한민국,연홍,900
열대과일(Tropical) , 람부탄 냉동농축액 (단일산지),냉동농축액,64.8,4.1,12410,1.252,0.66,베트남,연노랑,240
인과류(Pome) , 배 퓨레 (산지혼합),퓨레,10.2,4.11,3470,1.034,0.1,미국,연노랑,240
열대과일(Tropical) , 구아바 퓨레 (무가당),퓨레,14,3.76,5840,1.043,0.38,베트남,핑크,1400
베리류(Berries) , 딸기 NFC (클래식),NFC,11.7,3.15,10510,1.029,0.88,미국,선홍,200
베리류(Berries) , 레드커런트 무균퓨레 (고펄프),무균퓨레,9.8,3.19,7070,1.029,1.14,독일,진홍,20
핵과류(Stone) , 복숭아 주스 (일반),주스,9.2,3.89,6640,1.013,0.72,대한민국,피치,900
베리류(Berries) , 아로니아 퓨레 (클래식),퓨레,9,3.42,7080,1.025,0.95,폴란드,흑보라,900
기타(Other) , 대추야자 퓨레 (단일산지),퓨레,16.9,4.91,5180,1.057,0.14,이란,갈색,1000
기타(Other) , 무화과 농축액 (단일산지),농축액,66.6,4.7,8920,1.257,0.32,터키,플럼브라운,900
감귤류(Citrus) , 칼라만시 퓨레 (프리미엄),퓨레,9,2.71,6890,1.021,1.87,베트남,연금색,1400
감귤류(Citrus) , 레몬 무균퓨레 (클래식),무균퓨레,9,2.42,8000,1.023,2.07,스페인,담황,1400
